String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Volkl Cyclone 19 (1.10),51,Medium,Polyester,1.1,NA,2.4,3.3,4.5,34.46,37.1,27.7,36.4,70.8,24.5,11.8,192,4.61,11.65,0.22,16.5,32.5,92.2,0.071,0.582,8.2
Volkl Cyclone 18,51,Medium,Polyester,1.2,1.21,3.3,4.2,5.8,26.77,38.4,27.8,38.4,65.3,22.7,,201.2,8.31,15.64,0.31,24.3,47.8,88.7,0.082,0.58,7.1
Volkl Power-Fiber II 16,51,Medium,Nylon,1.32,1.31,7.6,8.8,9.7,40.46,36.8,26,28.7,69.2,22.5,,172,5.87,4.39,0.09,10.4,20.4,94.1,0.126,0.405,3.2
Volkl V-Pro 17,51,Medium,Polyester,1.23,1.23,2.7,4.2,5.5,27.03,38.3,27.7,39,66.2,22.9,,206.9,8.2,15.49,0.28,24,47.3,90.1,0.084,0.432,5.1
Volkl Cyclone Tour 17 (1.25),51,Medium,Polyester,1.25,NA,2.4,4.8,7,24.63,39.1,28.1,38.6,63.3,22.2,11.1,199.5,7.12,18.97,0.46,26.5,52.3,88.7,0.078,0.472,6.1
Volkl V-Torque 16,51,Medium,Polyester,1.28,NA,4.5,7,8.8,26.11,37.4,27.9,36.6,62.6,21.8,11.7,190.3,7.23,17.38,0.2,24.7,48.9,91.2,0.087,0.487,5.6
Volkl Gripper 17,51,Medium,Nylon,1.25,1.31,8.8,10.3,11.2,38.65,38.1,27,26.2,65,21.9,,146.9,6.95,5.12,0.08,12.1,24,94.5,0.085,0.373,4.4
Weiss Cannon Silverstring 120,51,Medium,Polyester,1.2,NA,2.7,4.2,5.5,25.75,39.7,29,37.9,63.7,23.1,,183.5,8.62,16.35,0.3,25.4,49.8,89.5,0.107,0.397,3.7
Weiss Cannon Turbotwist 17L (1.18),51,Medium,Polyester,1.18,1.26,2.7,4.5,5.8,26.46,38.3,27.7,41.9,68.4,23.7,,221.2,9.33,14.93,0,24.3,47.8,89.5,0.085,0.406,4.8
Weiss Cannon Black 5 Edge 17 (1.24),51,Medium,Polyester,1.24,NA,2.1,3.3,4.5,34.53,35.5,26,39.7,74.3,24.1,12.3,238.9,5.29,10.9,0.13,16.3,32.2,92.2,0.095,0.448,4.7
Weiss Cannon Turbotwist 17 (1.24),51,Medium,Polyester,1.24,1.25,2.1,3.6,4.8,26.26,37.9,27.8,42.6,68.8,23.9,,224,9.48,14.98,0.29,24.7,48.8,89.1,0.097,0.412,4.2
Weiss Cannon Scorpion 1.22,51,Medium,Polyester,1.22,1.22,2.4,3.9,4.5,28.8,38,28,39.9,68.8,24,,208,8.51,13.41,0.22,22.1,43.7,90.2,0.097,0.385,4
Weiss Cannon Silverstring 1.25,51,Medium,Polyester,1.25,1.26,2.4,3.9,5.2,29.11,37.6,27.2,40.4,69.5,23.6,,222.9,8.29,13.32,0.25,21.8,43.1,91,0.108,0.407,3.8
Weiss Cannon Explosiv 1.30,51,Medium,Nylon,1.3,38,8.5,10,NA,38.17,38.1,27.1,27.1,65.3,22.1,,150.3,5.93,6.62,0.02,12.6,24.8,94.3,0.105,0.424,4
Weiss Cannon MatchPower 1.25,51,Medium,Polyester,1.25,1.26,1.5,2.1,2.7,31.69,36.4,26.3,43.2,75,24.6,,255.5,7.17,11.86,0.18,19.2,37.9,90.6,0.108,0.389,3.6
Weiss Cannon Scorpion 1.33,51,Medium,Polyester,1.33,1.35,1.5,2.7,3.6,27.03,37.1,26.9,44.1,71.2,23.9,,247.5,8.38,15.31,0.35,24,47.4,90.2,0.09,0.375,4.2
Wilson NXT Duramax 15 (1.40),51,Medium,Nylon,1.4,NA,6.1,7.3,8.5,42.8,36.3,26.3,29.8,72.5,23.9,12.3,175.5,4.08,3.84,0.11,7.9,15.8,95.8,0.089,0.398,4.5
Wilson NXT Tour 17,51,Medium,Nylon,1.26,1.3,6.1,7.3,8.2,41.67,36.2,26,29.3,71,23.1,,176.6,4.94,4.11,-0.05,9,17.7,93.1,0.119,0.425,3.6
Wilson NXT Control 16 (1.32),51,Medium,Nylon/Polyester,1.32,1.33,6.4,8.5,10,35.26,37.5,26.9,30.9,66.2,22.3,,173.7,6.22,9.24,0,15.4,30.5,93.1,0.149,0.454,3
Wilson SGX 16,51,Medium,Nylon,1.3,1.31,8.5,9.4,11.2,41.34,36.3,26,27.8,69,22.5,,166.9,5.62,3.76,0,9.3,18.5,97.4,0.124,0.379,3.1
Wilson Hollow Core 16,51,Medium,Nylon,1.33,1.33,103.6,8.2,9.7,34,38.4,27.3,30.6,64.8,22.1,,167.4,6.84,9.88,0.13,16.8,33.2,94.1,0.151,0.501,3.3
Wilson Enduro Pro 16,51,Medium,Polyester,1.3,NA,NA,2.4,3,32.77,36.4,26.1,42.1,75,24.4,,252,6.57,11.38,0.2,18.1,35.8,90.6,0.086,0.403,4.7
Wilson Hollow Core Pro 17,51,Medium,Nylon,1.27,1.3,5.8,7.6,9.4,33.91,38.7,28,30.4,64.4,22.5,,158.3,6.04,10.77,0.11,17,33.3,93.7,0.133,0.515,3.9
Wilson K-Gut Pro 16,51,Medium,Nylon,1.33,1.32,6.1,7.6,8.5,41.63,36.4,26,30.6,72.3,23.5,,184,5.53,3.56,-0.04,9,17.8,94.5,0.234,0.374,1.6
Wilson Enduro Tour 16,51,Medium,Polyester,1.3,1.3,0.9,2.1,3,32.06,35.6,25.7,44.8,76.7,24.6,,276,7.28,11.38,0.18,18.7,37.1,90.1,0.079,0.414,5.2
Wilson Sensation Supreme 16,51,Medium,Nylon,1.3,1.32,7.6,9.1,10.3,36.87,38.4,28,29.3,66.2,23.1,,152,6.84,7.01,0.07,13.9,27.4,94.5,0.157,0.476,3
Wilson Revolve 17 (1.25),51,Medium,Polyester,1.25,NA,1.8,3.6,4.5,32.85,37.1,27.8,38.8,71.7,24.9,12.2,204.6,5.95,11.92,0.15,18.1,35.5,92.5,0.066,0.507,7.7
Wilson Ripspin 17,51,Medium,Polyester,1.25,NA,2.1,3.6,4.5,32.13,36.9,27.2,41.7,73.9,25.1,11.8,229.2,5.38,13.21,0.31,19,37.3,91.6,0.081,0.425,5.2
Wilson Enduro Pro 17 (1.25),51,Medium,Nylon/Polyester,1.25,1.27,1.8,2.4,3.3,34.42,35.7,25.9,40.6,75,24.2,,246.3,6.02,10.28,0.15,16.5,32.4,91.8,0.094,0.374,4
Wilson Red Alert 16,51,Medium,Nylon,1.32,1.36,6.7,8.2,9.1,41.15,35.6,25.5,32.2,73.2,23.4,,200.6,6.39,3.18,0.07,9.7,19,93.9,0.137,0.409,3
Wilson NXT OS,51,Medium,Nylon,1.28,1.33,6.4,7.3,8.5,41.5,36.5,26,29.3,70.8,23,,176,5.56,3.66,0,9.3,18.2,95.3,0.181,0.459,2.5
Wilson Enduro Gold 16,51,Medium,Polyester,1.3,1.29,1.5,2.4,3.3,27.41,37.6,27.7,43.4,71,24.6,,230.3,8.33,14.98,0.27,23.6,46.5,89.3,NA,NA,NA
Wilson Synthetic Gut Extreme 17,51,Medium,Nylon,1.25,1.26,7.6,8.5,9.7,41.39,36.3,26,31.3,72.8,23.7,,188.6,5.95,3.38,0.02,9.3,18.4,94.7,0.131,0.361,2.8
Wilson NXT Max 16,51,Medium,Nylon,1.32,1.34,6.1,7,8.2,40.53,36.7,26.2,31.3,71.7,23.5,,185.2,5.98,4.21,0,10.1,20.1,94.1,0.206,0.521,2.5
